name,city,state,conference,stadium
Nebraska,Lincoln,NE,BIG 10,Memorial
Miami,Miami,FL,ACC,Hard Rock
Georgia,Athens,GA,SEC,Sanford Stadium
Michigan,Ann Arbor,MI,BIG 10,The Big House
Alabama,Tuscaloosa,AL,SEC,Bryant-Denny
